epoch,step,train_acc,train_kappa,train_loss,train_macro_f1,train_macro_prec,train_macro_rec,val_acc,val_bal_acc,val_kappa,val_loss,val_macro_f1,val_macro_prec,val_macro_rec
0,45,,,,,,,0.46793997287750244,0.3526674211025238,0.44865888357162476,1.340815782546997,0.29232513904571533,0.2775460183620453,0.3526674211025238
0,45,0.39433252811431885,0.3116765320301056,2.8137495517730713,0.26826509833335876,0.2928732931613922,0.2813487648963928,,,,,,,
1,91,,,,,,,0.47339698672294617,0.3461162745952606,0.34211504459381104,1.3292860984802246,0.27170559763908386,0.3761652410030365,0.3461162745952606
1,91,0.5353363156318665,0.48679324984550476,1.3557915687561035,0.35656970739364624,0.3690195083618164,0.38431790471076965,,,,,,,
2,137,,,,,,,0.4884038269519806,0.36664438247680664,0.3800159692764282,1.3325151205062866,0.28689929842948914,0.37185966968536377,0.36664438247680664
2,137,0.5261180996894836,0.49192750453948975,1.3193092346191406,0.32545727491378784,0.3696604371070862,0.3754676878452301,,,,,,,
3,183,,,,,,,0.4829467833042145,0.375582754611969,0.5460211634635925,1.3464525938034058,0.3227545917034149,0.44892701506614685,0.375582754611969
3,183,0.5404574871063232,0.49823302030563354,1.3159735202789307,0.353119820356369,0.3957110047340393,0.39976561069488525,,,,,,,
4,229,,,,,,,0.5607094168663025,0.4003778100013733,0.43448540568351746,1.3022985458374023,0.35632359981536865,0.45746609568595886,0.4003778100013733
4,229,0.5513827204704285,0.5074188113212585,1.3279428482055664,0.3601926565170288,0.387552410364151,0.39456894993782043,,,,,,,
5,275,,,,,,,0.5634379386901855,0.4072064459323883,0.48715171217918396,1.307533860206604,0.3859683573246002,0.4700452983379364,0.4072064459323883
5,275,0.5667463541030884,0.5082512497901917,1.2966874837875366,0.3758760690689087,0.3969824016094208,0.3991495668888092,,,,,,,
6,321,,,,,,,0.549795389175415,0.3794596195220947,0.42588624358177185,1.3161487579345703,0.33293455839157104,0.3478839099407196,0.3794596195220947
6,321,0.5551382899284363,0.5196670889854431,1.2977678775787354,0.3656350374221802,0.3987026512622833,0.4079762399196625,,,,,,,
7,367,,,,,,,0.5579808950424194,0.3976903259754181,0.498764306306839,1.294668436050415,0.3682459890842438,0.41587990522384644,0.3976903259754181
7,367,0.6019119024276733,0.5487183928489685,1.2891039848327637,0.3971560299396515,0.4006851613521576,0.41475412249565125,,,,,,,
8,413,,,,,,,0.5443383455276489,0.3943178355693817,0.47001340985298157,1.2951903343200684,0.35677263140678406,0.43594104051589966,0.3943178355693817
8,413,0.5797200202941895,0.5510832667350769,1.2608920335769653,0.3862583041191101,0.4186858534812927,0.42630791664123535,,,,,,,
9,459,,,,,,,0.5525238513946533,0.4011169672012329,0.48357436060905457,1.3045225143432617,0.3647851049900055,0.44268032908439636,0.4011169672012329
9,459,0.5687947869300842,0.5416954755783081,1.2536509037017822,0.38215693831443787,0.4234723746776581,0.4388245642185211,,,,,,,
10,505,,,,,,,0.5525238513946533,0.4005911648273468,0.46850258111953735,1.29933500289917,0.359855592250824,0.42952489852905273,0.4005911648273468
10,505,0.5742574334144592,0.5380028486251831,1.242724895477295,0.38822653889656067,0.42727208137512207,0.4430978000164032,,,,,,,
11,551,,,,,,,0.5443383455276489,0.40230506658554077,0.4614391624927521,1.2940036058425903,0.35699743032455444,0.4264284372329712,0.40230506658554077
11,551,0.5834755897521973,0.5483734607696533,1.2390104532241821,0.3999418318271637,0.4347625970840454,0.45060864090919495,,,,,,,
12,597,,,,,,,0.542974054813385,0.401720255613327,0.46045130491256714,1.2948142290115356,0.35690462589263916,0.4267350733280182,0.401720255613327
12,597,0.5766473412513733,0.5417929291725159,1.2444889545440674,0.38840535283088684,0.43690595030784607,0.44629570841789246,,,,,,,
13,643,,,,,,,0.5457025766372681,0.40585535764694214,0.46669653058052063,1.295743703842163,0.36358094215393066,0.4387904405593872,0.40585535764694214
13,643,0.5817685127258301,0.5506455898284912,1.2303516864776611,0.4007377326488495,0.4402823746204376,0.46891260147094727,,,,,,,
14,689,,,,,,,0.5457025766372681,0.40585535764694214,0.46669653058052063,1.2969880104064941,0.36358094215393066,0.4387904405593872,0.40585535764694214
14,689,0.5797200202941895,0.5499157905578613,1.2453709840774536,0.39589443802833557,0.4391900300979614,0.4572886526584625,,,,,,,
