epoch,step,train_acc,train_kappa,train_loss,train_macro_f1,train_macro_prec,train_macro_rec,val_acc,val_bal_acc,val_kappa,val_loss,val_macro_f1,val_macro_prec,val_macro_rec
0,45,,,,,,,0.7653478980064392,0.5603659152984619,0.8193549513816833,1.1028000116348267,0.5723608732223511,0.5940554738044739,0.5603659152984619
0,45,0.5889381766319275,0.6516352891921997,1.2164710760116577,0.4323205053806305,0.44642171263694763,0.4851224720478058,,,,,,,
1,91,,,,,,,0.7407912611961365,0.6231537461280823,0.826431393623352,0.9612017869949341,0.5948386788368225,0.5932992696762085,0.6231537461280823
1,91,0.7026289105415344,0.8117937445640564,0.9407405853271484,0.5497812032699585,0.548007071018219,0.6008052229881287,,,,,,,
2,137,,,,,,,0.8035470843315125,0.6383677124977112,0.8637979030609131,0.9799714088439941,0.6447768807411194,0.6828392148017883,0.6383677124977112
2,137,0.7463297843933105,0.8433595299720764,0.8714534044265747,0.5998795628547668,0.5945978164672852,0.650367021560669,,,,,,,
3,183,,,,,,,0.7462483048439026,0.6261140704154968,0.8597628474235535,0.9194587469100952,0.5914626121520996,0.6195042729377747,0.6261140704154968
3,183,0.7572550177574158,0.8435767292976379,0.8129451870918274,0.6113355755805969,0.6021087169647217,0.6562617421150208,,,,,,,
4,229,,,,,,,0.7626193761825562,0.6068466901779175,0.8625134825706482,0.9349786639213562,0.5922664403915405,0.5859940648078918,0.6068466901779175
4,229,0.768180251121521,0.8607962131500244,0.7748420834541321,0.6338030695915222,0.6245121955871582,0.6823266744613647,,,,,,,
5,275,,,,,,,0.7653478980064392,0.6216332912445068,0.8631203770637512,0.9374401569366455,0.6159155368804932,0.6333438754081726,0.6216332912445068
5,275,0.7825196385383606,0.861395001411438,0.7368877530097961,0.6515645980834961,0.6398078203201294,0.7046189308166504,,,,,,,
6,321,,,,,,,0.7871760129928589,0.6175857782363892,0.8812107443809509,0.9595790505409241,0.6213616132736206,0.6361454129219055,0.6175857782363892
6,321,0.7900307178497314,0.8721787333488464,0.7033867835998535,0.6709160804748535,0.6562891006469727,0.7217522263526917,,,,,,,
7,367,,,,,,,0.6889495253562927,0.5815921425819397,0.8485203981399536,1.1221040487289429,0.5336431860923767,0.5857331156730652,0.5815921425819397
7,367,0.7886650562286377,0.8763371706008911,0.688690185546875,0.6634063720703125,0.6509251594543457,0.7116177082061768,,,,,,,
8,413,,,,,,,0.7789904475212097,0.6470234394073486,0.8761601448059082,0.9331372976303101,0.634167492389679,0.6325441598892212,0.6470234394073486
8,413,0.7920792102813721,0.8784740567207336,0.6687337756156921,0.676735520362854,0.6594457626342773,0.7363600730895996,,,,,,,
9,459,,,,,,,0.7980900406837463,0.6558660268783569,0.8872859477996826,0.9854261875152588,0.649583101272583,0.6456549167633057,0.6558660268783569
9,459,0.8163195848464966,0.8898280262947083,0.6227177977561951,0.7008934617042542,0.6828063130378723,0.7504468560218811,,,,,,,
10,505,,,,,,,0.7503410577774048,0.634969174861908,0.8671988248825073,1.001980185508728,0.6015793085098267,0.6241391897201538,0.634969174861908
10,505,0.8152953386306763,0.8868592977523804,0.604606032371521,0.7023223638534546,0.6833699941635132,0.7537022829055786,,,,,,,
11,551,,,,,,,0.7653478980064392,0.6593008637428284,0.8530934453010559,0.9648582935333252,0.62699294090271,0.6213754415512085,0.6593008637428284
11,551,0.8146125078201294,0.8863880038261414,0.5971881747245789,0.706083357334137,0.688175618648529,0.7609376311302185,,,,,,,
12,597,,,,,,,0.7735334038734436,0.629584550857544,0.8529742956161499,1.1089274883270264,0.6190482378005981,0.6342682838439941,0.629584550857544
12,597,0.8371458053588867,0.9071211218833923,0.5510942339897156,0.739004909992218,0.7159923911094666,0.7895554304122925,,,,,,,
13,643,,,,,,,0.7598908543586731,0.6543624997138977,0.8590152263641357,1.0955092906951904,0.6271604895591736,0.628315269947052,0.6543624997138977
13,643,0.8337316513061523,0.8973636627197266,0.5392742156982422,0.7364067435264587,0.712470293045044,0.7944382429122925,,,,,,,
14,689,,,,,,,0.7830832004547119,0.6561977863311768,0.8699613809585571,1.0618396997451782,0.640900194644928,0.6335733532905579,0.6561977863311768
14,689,0.8426083922386169,0.9049530029296875,0.49092206358909607,0.7532467246055603,0.7276758551597595,0.8126342296600342,,,,,,,
15,735,,,,,,,0.7871760129928589,0.6647339463233948,0.8757027387619019,1.0699952840805054,0.6477182507514954,0.6371052861213684,0.6647339463233948
15,735,0.8671901822090149,0.9166870713233948,0.434469997882843,0.7888417840003967,0.7651154398918152,0.8350971937179565,,,,,,,
16,781,,,,,,,0.7899044752120972,0.661413848400116,0.8771538138389587,1.1116883754730225,0.6498753428459167,0.6434926986694336,0.661413848400116
16,781,0.8654831051826477,0.9164339900016785,0.4391230344772339,0.7855690717697144,0.7602013945579529,0.8374804258346558,,,,,,,
17,827,,,,,,,0.7939972877502441,0.6619039177894592,0.8763600587844849,1.1246464252471924,0.6533380746841431,0.6480340957641602,0.6619039177894592
17,827,0.8671901822090149,0.9137701988220215,0.41084691882133484,0.7901648879051208,0.7632681727409363,0.8416010141372681,,,,,,,
18,873,,,,,,,0.7912687659263611,0.6570302844047546,0.8750035166740417,1.1377744674682617,0.6491677165031433,0.644573986530304,0.6570302844047546
18,873,0.8740184307098389,0.9210752844810486,0.4013281762599945,0.7990562915802002,0.7730321288108826,0.8468847274780273,,,,,,,
19,919,,,,,,,0.7912687659263611,0.655441164970398,0.8771485686302185,1.154714822769165,0.6477500796318054,0.6436572670936584,0.655441164970398
19,919,0.8767497539520264,0.9245311617851257,0.3896480202674866,0.804901123046875,0.7783334851264954,0.8534515500068665,,,,,,,
20,965,,,,,,,0.7926329970359802,0.659304678440094,0.8779509663581848,1.1367356777191162,0.6509424448013306,0.6463706493377686,0.659304678440094
20,965,0.8798224925994873,0.9230778217315674,0.3962514102458954,0.8050470352172852,0.7781707048416138,0.8518928289413452,,,,,,,
21,1011,,,,,,,0.7926329970359802,0.6604685187339783,0.876912534236908,1.1337207555770874,0.651441216468811,0.6458384394645691,0.6604685187339783
21,1011,0.8774325847625732,0.9275007843971252,0.3937236964702606,0.8010655045509338,0.7770926356315613,0.8438868522644043,,,,,,,
22,1057,,,,,,,0.7926329970359802,0.659304678440094,0.8760684728622437,1.1616648435592651,0.6511563062667847,0.6464136838912964,0.659304678440094
22,1057,0.8740184307098389,0.9265429973602295,0.3844164311885834,0.8002215623855591,0.773722231388092,0.8502969145774841,,,,,,,
23,1103,,,,,,,0.7939972877502441,0.6584597229957581,0.8783090710639954,1.16069495677948,0.650457501411438,0.6464024782180786,0.6584597229957581
23,1103,0.8794810771942139,0.9245012998580933,0.40094003081321716,0.8088905215263367,0.7826632261276245,0.8537870049476624,,,,,,,
24,1149,,,,,,,0.7953615188598633,0.6613249182701111,0.8768749237060547,1.1555166244506836,0.6538846492767334,0.6500285863876343,0.6613249182701111
24,1149,0.8846022486686707,0.9327678680419922,0.38665199279785156,0.8141305446624756,0.7887701988220215,0.8580934405326843,,,,,,,
25,1195,,,,,,,0.7912687659263611,0.6513590812683105,0.8774257898330688,1.1444377899169922,0.6456053853034973,0.6421639323234558,0.6513590812683105
25,1195,0.8767497539520264,0.9249210357666016,0.39136266708374023,0.8042851686477661,0.7787504196166992,0.8528359532356262,,,,,,,
26,1241,,,,,,,0.7939972877502441,0.6553465127944946,0.8758546113967896,1.1640398502349854,0.6502106785774231,0.6477943062782288,0.6553465127944946
26,1241,0.8777740001678467,0.9295706152915955,0.3935961127281189,0.8027732372283936,0.776004433631897,0.8489767909049988,,,,,,,
27,1287,,,,,,,0.7939972877502441,0.6614786386489868,0.8771736025810242,1.1357102394104004,0.6530328392982483,0.6476117968559265,0.6614786386489868
27,1287,0.8740184307098389,0.92220538854599,0.39467906951904297,0.801889955997467,0.7759498357772827,0.8491329550743103,,,,,,,
28,1333,,,,,,,0.7953615188598633,0.6580461859703064,0.8780012130737305,1.1551772356033325,0.6523257493972778,0.6500024795532227,0.6580461859703064
28,1333,0.875725507736206,0.9205005168914795,0.390846848487854,0.8005263805389404,0.7741309404373169,0.8480045795440674,,,,,,,
29,1379,,,,,,,0.7967258095741272,0.6602200865745544,0.8756511211395264,1.1577733755111694,0.6543813943862915,0.6516941785812378,0.6602200865745544
29,1379,0.8774325847625732,0.9260409474372864,0.3761330246925354,0.8054078221321106,0.7788825035095215,0.8532150387763977,,,,,,,
30,1425,,,,,,,0.7967258095741272,0.6515949964523315,0.8758598566055298,1.1642929315567017,0.6490944623947144,0.6489208936691284,0.6515949964523315
30,1425,0.8675315976142883,0.9190195202827454,0.41154199838638306,0.7885682582855225,0.7627604603767395,0.8382743000984192,,,,,,,
31,1471,,,,,,,0.7939972877502441,0.6549211740493774,0.874610185623169,1.157948613166809,0.6505094766616821,0.6484882235527039,0.6549211740493774
31,1471,0.8753840923309326,0.9217529892921448,0.39638352394104004,0.7986129522323608,0.7718536257743835,0.8506068587303162,,,,,,,
32,1517,,,,,,,0.7939972877502441,0.6554469466209412,0.8775462508201599,1.151039719581604,0.6502983570098877,0.6481999158859253,0.6554469466209412
32,1517,0.8774325847625732,0.9294166564941406,0.3869956433773041,0.8033337593078613,0.7765013575553894,0.8508864641189575,,,,,,,
33,1563,,,,,,,0.7912687659263611,0.6523750424385071,0.8758817911148071,1.17872953414917,0.6472154855728149,0.6457732915878296,0.6523750424385071
33,1563,0.8818709254264832,0.9332793354988098,0.383555144071579,0.8086494207382202,0.7821965217590332,0.8558401465415955,,,,,,,
34,1609,,,,,,,0.7926329970359802,0.6549093723297119,0.8748419880867004,1.1505589485168457,0.6486291885375977,0.6455028653144836,0.6549093723297119
34,1609,0.8767497539520264,0.9266799092292786,0.38372376561164856,0.8069332242012024,0.7791449427604675,0.8554796576499939,,,,,,,
35,1655,,,,,,,0.7926329970359802,0.6539583206176758,0.8768981695175171,1.139651894569397,0.6475991606712341,0.6435900330543518,0.6539583206176758
35,1655,0.8815295100212097,0.9271070957183838,0.3897157907485962,0.8070054650306702,0.7813515663146973,0.850877046585083,,,,,,,
36,1701,,,,,,,0.7967258095741272,0.6569414138793945,0.8768982887268066,1.1660165786743164,0.6524744033813477,0.6516696810722351,0.6569414138793945
36,1701,0.8798224925994873,0.9282230138778687,0.3854098916053772,0.8047501444816589,0.7787342071533203,0.8486644625663757,,,,,,,
37,1747,,,,,,,0.7953615188598633,0.664603590965271,0.8792291879653931,1.1506589651107788,0.6553363800048828,0.6497958898544312,0.664603590965271
37,1747,0.8852850794792175,0.9298087358474731,0.3819442689418793,0.8105556964874268,0.7850444912910461,0.8555057048797607,,,,,,,
38,1793,,,,,,,0.7939972877502441,0.6581999063491821,0.8766943216323853,1.1460670232772827,0.6512941718101501,0.6476401090621948,0.6581999063491821
38,1793,0.8747012615203857,0.9235561490058899,0.40841996669769287,0.7981420755386353,0.7723384499549866,0.8435711860656738,,,,,,,
39,1839,,,,,,,0.7939972877502441,0.6543954014778137,0.8742808103561401,1.158595085144043,0.6495122909545898,0.6471201777458191,0.6543954014778137
39,1839,0.8688972592353821,0.916419267654419,0.4029809832572937,0.7905175685882568,0.7668436765670776,0.8323283791542053,,,,,,,
